freq	dB(S(1,2))
6.38888888899999952E9	-1.20595023918877131E-1
6.39210390956249963E9	-1.21833186393643067E-1
6.39531893012500063E9	-1.23220493372070750E-1
6.39853395068750075E9	-1.24792562218822201E-1
6.40174897124999909E9	-1.26597536418471979E-1
6.40335648153125181E9	-1.27607180966984579E-1
6.40496399181249920E9	-1.28701749507632379E-1
6.40657150209375015E9	-1.29893602356176996E-1
6.40817901237499843E9	-1.31196886125241363E-1
6.40898276751562435E9	-1.31894961956021661E-1
6.40978652265625026E9	-1.32626189715320697E-1
6.41059027779687529E9	-1.33391469485721648E-1
6.41139403293749943E9	-1.34190252898914553E-1
6.41219778807812624E9	-1.35019433044087878E-1
6.41300154321874949E9	-1.35872917219378309E-1
6.41380529835937363E9	-1.36746890230902607E-1
6.41460905350000132E9	-1.37662971283846014E-1
6.41501093107031295E9	-1.38160593792300412E-1
6.41541280864062458E9	-1.38705453760981801E-1
6.41581468621093798E9	-1.39311246620219675E-1
6.41621656378124960E9	-1.39981496708081998E-1
6.41661844135156390E9	-1.40706240578274522E-1
6.41702031892187552E9	-1.41466477624177189E-1
6.41742219649218715E9	-1.42243180364971544E-1
6.41782407406249966E9	-1.43024199919492379E-1
6.41862782920312469E9	-1.44590597125061815E-1
6.41943158434375061E9	-1.46192845003722471E-1
6.42023533948437386E9	-1.47879339330288984E-1
6.42103909462499978E9	-1.49689406572437855E-1
6.42264660490625072E9	-1.53797081584395157E-1
6.42425411518749989E9	-1.58736104219586904E-1
6.42586162546874995E9	-1.64769489854488116E-1
6.42746913575000001E9	-1.72265296583343197E-1
6.42907664603125095E9	-1.81761065285335532E-1
6.43068415631250012E9	-1.94062840576867668E-1
6.43229166659375018E9	-2.10410788939851923E-1
6.43389917687499935E9	-2.32760541721440006E-1
6.43550668715625118E9	-2.64250621791674334E-1
6.43711419743750035E9	-3.09893348164112892E-1
6.43872170771875041E9	-3.77138029382138695E-1
6.44032921799999958E9	-4.74016799081241746E-1
6.44113297314062550E9	-5.33628788284993405E-1
6.44193672828125052E9	-5.96748468605448945E-1
6.44274048342187466E9	-6.55651450867721142E-1
6.44354423856250058E9	-6.98613083018909808E-1
6.44434799370312383E9	-7.13329003173010534E-1
6.44515174884374886E9	-6.93383100260119978E-1
6.44595550398437656E9	-6.42966523466458462E-1
6.44675925912499981E9	-5.74727010784200054E-1
6.44756301426562395E9	-5.02589048009268513E-1
6.44836676940625075E9	-4.36155316035828911E-1
6.44917052454687489E9	-3.79676340867508566E-1
6.44997427968749992E9	-3.33716996437400937E-1
6.45077803482812406E9	-2.97078171028058602E-1
6.45158178996875087E9	-2.68055032955338923E-1
6.45238554510937412E9	-2.45040508850277128E-1
6.45318930024999826E9	-2.26707427425200514E-1
6.45640432081249838E9	-1.82593977766971483E-1
6.45961934137500116E9	-1.62401183446652952E-1
6.46283436193750038E9	-1.52407389922205283E-1
6.46604938249999872E9	-1.47350097236073174E-1
6.47247942362500073E9	-1.44084044222306362E-1
6.47890946475000096E9	-1.44871858192310721E-1
6.48533950587500119E9	-1.47176804144073037E-1
6.49176954699999964E9	-1.49531995736913026E-1
6.50462962924999921E9	-1.48898524430677170E-1
6.51748971149999967E9	-1.37176773987310918E-1
6.53034979375000013E9	-1.24222488475197723E-1
6.54320987600000059E9	-1.18797687745871494E-1
6.54963991724999950E9	-1.18963775073632361E-1
6.55606995849999930E9	-1.21147912883271114E-1
6.56249999974999998E9	-1.26565895916694404E-1
6.56893004099999978E9	-1.40005609880429893E-1
