Freq(Hz),Sdd11(mag),Sdd11(phase),Sdd12(mag),Sdd12(phase),Sdd21(mag),Sdd21(phase),Sdd22(mag),Sdd22(phase)
4.89E+08,-23.89486,113.68864,-49.02883,6.6784,23.90914,119.89542,-16.16037,-64.74054
4.95E+08,-25.66262,113.95689,-51.84977,106.37683,23.91338,119.25467,-16.46128,-62.76109
5.01E+08,-24.12208,116.91821,-47.18874,-57.64296,23.93322,118.73756,-16.19842,-64.39995
5.07E+08,-24.7341,116.84747,-53.83781,92.17397,23.94822,117.6685,-16.53444,-66.20783
5.13E+08,-23.90046,103.89281,-54.49113,130.38701,23.94637,116.9642,-16.07809,-67.34309
5.19E+08,-24.25325,111.01834,-44.98603,-5.78061,23.95692,115.96473,-16.82408,-65.73664
5.25E+08,-24.13971,109.80806,-52.36629,59.59291,23.94382,115.34512,-16.02514,-70.16898
5.31E+08,-24.46998,105.92561,-47.27162,41.59684,23.93028,114.49421,-16.02526,-69.47732
5.37E+08,-24.06337,104.20984,-50.24725,51.06586,23.94603,113.77718,-16.60296,-66.38223
5.43E+08,-26.15524,107.14264,-55.89713,149.82095,23.95542,113.1898,-16.44896,-69.82537
5.49E+08,-23.43467,106.06388,-46.62391,151.21431,23.92431,112.40677,-16.37083,-69.7282
5.55E+08,-25.30766,103.76196,-52.89667,-43.4631,23.96534,111.65324,-16.3538,-71.23986
5.61E+08,-25.26818,95.09821,-55.89933,44.51496,23.95253,110.80844,-16.26388,-74.61386
5.67E+08,-26.25551,104.19117,-51.24036,8.6778,23.92555,110.1615,-15.88439,-71.30505
5.73E+08,-26.55341,92.32318,-44.37839,61.05747,23.95389,109.21827,-16.29278,-76.38541
5.79E+08,-24.25527,92.35442,-41.00608,-74.56679,23.97664,108.40974,-15.69076,-76.37846
5.85E+08,-24.88698,96.39917,-50.39069,-1.27261,23.96124,107.92469,-16.09821,-76.28318
5.91E+08,-26.1487,93.54134,-45.18087,164.17134,23.97491,107.08704,-16.22084,-75.39353
5.97E+08,-24.21811,97.17864,-50.34111,46.5271,23.96554,106.28035,-16.07162,-75.72056
6.03E+08,-24.60331,104.98256,-46.00778,62.81739,23.96766,105.39894,-16.06025,-76.14184
6.09E+08,-26.38439,93.45192,-48.13543,-143.07231,23.95762,104.71191,-16.59147,-78.18262
6.15E+08,-25.13388,101.76795,-47.38429,115.82059,23.95153,103.86035,-15.92467,-74.85789
6.21E+08,-25.85126,101.94914,-42.59683,-123.44458,23.98006,103.09662,-15.98062,-80.94619
6.27E+08,-26.72346,98.79085,-47.53297,-30.16264,23.94814,102.34236,-16.39743,-79.40163
6.33E+08,-23.86155,94.14588,-44.96834,178.61029,23.97736,101.60092,-16.17996,-81.13113
6.39E+08,-26.02293,94.14667,-50.87425,38.18895,23.99379,100.95948,-16.06675,-82.36693
6.45E+08,-26.21363,97.20944,-49.04543,-39.9145,23.96833,100.19121,-16.36565,-79.94434
6.51E+08,-27.10463,92.67311,-51.04074,-26.46684,23.9742,99.47406,-15.86997,-81.47698
6.57E+08,-27.45271,84.72894,-47.56249,98.16468,23.97771,98.4818,-16.70286,-83.23305
6.63E+08,-26.38776,96.83125,-51.46895,-46.20202,24.00368,97.77116,-15.99945,-84.412
6.69E+08,-26.88579,83.79547,-46.28468,76.71352,23.98931,97.25463,-16.00592,-81.77156
6.75E+08,-27.22447,80.22522,-57.4072,143.54404,23.97983,96.16518,-16.14284,-84.72978
6.81E+08,-26.98622,84.99852,-40.49649,147.93019,23.97439,95.54482,-16.04118,-85.49668
6.87E+08,-26.6238,90.12411,-44.92969,-103.63281,23.97292,94.81742,-16.0005,-86.75244
6.93E+08,-27.38068,81.12214,-54.15339,-65.56577,23.99513,93.97263,-15.80224,-87.0916
6.99E+08,-27.49621,81.9035,-48.58107,-175.2132,23.99063,93.06127,-16.36265,-89.16274
7.05E+08,-24.76508,86.05873,-52.02972,-97.836,24.00062,92.4362,-16.39984,-91.52467
7.11E+08,-27.40208,81.16841,-51.38714,37.3369,24.01761,91.57588,-15.87186,-88.96381
