Freq(Hz),Sdd11(mag),Sdd11(phase),Sds12(mag),Sds12(phase),Ssd21(mag),Ssd21(phase),Sss22(mag),Sss22(phase)
4.59E+08,-26.67673,-176.661,-13.15916,149.22453,-13.19152,148.37779,-18.82412,-69.69009
4.65E+08,-28.01479,177.45351,-13.06018,144.53149,-12.92988,144.05231,-17.82649,-70.83383
4.71E+08,-29.26374,167.05353,-12.91511,141.03755,-13.17085,142.20421,-18.35389,-74.20377
4.77E+08,-27.68588,162.21394,-13.20939,138.57211,-13.03622,138.41185,-18.61165,-77.82989
4.83E+08,-27.4312,150.07317,-13.08783,136.97655,-13.2906,138.5614,-18.52709,-79.22411
4.89E+08,-28.16726,151.01248,-13.20276,132.54077,-13.12464,132.59726,-18.88825,-78.51803
4.95E+08,-26.33858,147.69803,-13.34905,132.76869,-13.36649,130.49086,-18.316,-79.38844
5.01E+08,-27.78361,141.20683,-13.26057,127.40307,-13.13482,127.19786,-18.05937,-84.10531
5.07E+08,-27.09334,145.03473,-13.43194,125.76177,-13.21771,124.45784,-18.33415,-81.79768
5.13E+08,-27.24421,135.57257,-13.46057,123.11018,-13.22294,122.60104,-18.42001,-86.55344
5.19E+08,-27.00389,131.46246,-13.18456,121.7621,-13.32963,121.30862,-18.10646,-85.84255
5.25E+08,-27.09315,130.76445,-13.07974,117.85844,-13.23335,118.15166,-17.28018,-83.40757
5.31E+08,-26.1589,131.70146,-13.32257,114.61313,-13.46069,114.99741,-18.46898,-83.2296
5.37E+08,-26.71937,123.45862,-13.37206,112.44985,-13.2493,111.21079,-18.4434,-86.28462
5.43E+08,-25.73585,112.75745,-13.63773,109.2189,-13.46897,109.10847,-18.25665,-83.55795
5.49E+08,-27.08562,119.41105,-13.45029,106.95435,-13.23723,104.5554,-18.37607,-87.84415
5.55E+08,-28.57941,102.91035,-13.19034,104.71073,-13.39139,102.20475,-18.63507,-93.38596
5.61E+08,-25.64691,97.44675,-13.43416,100.7757,-13.3594,100.97835,-18.75109,-88.15418
5.67E+08,-27.44099,104.5676,-13.38132,100.46694,-13.49397,98.63419,-18.3475,-93.48399
5.73E+08,-27.16116,92.42249,-13.48865,96.22543,-13.20195,94.36381,-18.56768,-97.13502
